id;point;user_review_id;type;start_date;end_date
1;9;67162;PHAT_TRIEN;2023-04-11T22:26:42;2023-04-12T10:31:15
2;9;95345;PHAT_TRIEN;2023-04-12T03:36:59;2023-04-12T07:39:10
3;6;33077;THU_NHA;2023-04-12T06:49:38;2023-04-12T00:53:43
4;10;61891;THU_NHA;2023-04-12T14:41:05;2023-04-12T00:26:46
5;8;67965;CHIEN_THUAT;2023-04-12T08:48:15;2023-04-12T06:07:27
6;4;57088;PHAT_TRIEN;2023-04-12T02:52:45;2023-04-12T00:32:04
7;5;62414;PHAT_TRIEN;2023-04-12T00:34:44;2023-04-12T15:26:58
8;5;68796;CHIEN_THUAT;2023-04-11T19:03:36;2023-04-12T12:02:57
9;8;23431;PHAT_TRIEN;2023-04-11T23:55:28;2023-04-11T20:30:13
10;5;47638;PHAT_TRIEN;2023-04-12T15:13:14;2023-04-12T08:16:35
